172.31.1.6,172.31.3.121,DNS,141,Standard query 0x0cf9 A b-0.19-a3000408.81.16a8.ab2.3ea4.410.0.dek63ler71n1t6ir1fhf3678vt.avts.mcafee.com
172.31.1.6,172.31.60.35,DNS,174,Standard query response 0xed0f A gb.symcd.com CNAME ocsp-ds.ws.symantec.com.edgekey.net CNAME e8218.dscb1.akamaiedge.net A 23.43.75.27
208.67.222.123,172.31.3.121,DNS,164,Standard query response 0xa336 DS dropboxstatic.com SOA a.gtld-servers.net OPT
74.82.42.42,172.31.3.121,DNS,99,Standard query response 0x77de A control.preyproject.com A 107.178.244.155
172.31.150.209,172.31.1.6,DNS,83,Standard query 0x4e32 A officecdn.microsoft.com
172.31.1.6,172.31.3.121,DNS,83,Standard query 0xbbeb A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0xbbeb A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.32 A 23.63.98.43 NS m.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net
172.31.150.209,172.31.1.6,DNS,83,Standard query 0x262d A officecdn.microsoft.com
172.31.1.6,172.31.3.121,DNS,83,Standard query 0xf29c A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0xf29c A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.43 A 23.63.98.32 NS m.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,86,Standard query 0x5bc6 AAAA e8218.dscb1.akamaiedge.net
172.31.130.70,172.31.1.6,DNS,86,Standard query 0x7f30 A ads.adaptv.advertising.com
172.31.1.6,172.31.3.121,DNS,86,Standard query 0xb6dd A ads.adaptv.advertising.com
172.31.3.121,172.31.1.6,DNS,547,Standard query response 0xb6dd A ads.adaptv.advertising.com CNAME control.adap.tv CNAME control.adap.tv.akadns.net CNAME control-ap.adap.tv CNAME control-jp.adap.tv CNAME ads-816899299.ap-southeast-1.elb.amazonaws.com A 54.254.141.105 A 54.255.210.99 A 52.76.166.254 A 54.169.89.134 A 54.254.130.65 A 54.255.156.80 A 54.169.20.98 A 52.76.3.166 NS f.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS d.gtld-servers.net
209.244.0.3,172.31.3.121,DNS,105,Standard query response 0xb4d2 A sorioiyuv.biz A 198.105.254.11 A 104.239.213.7
74.82.42.42,172.31.3.121,DNS,151,Standard query response 0x7e4a AAAA dsn6.skype-dsn.akadns.net SOA internal.akadns.net
74.82.42.42,172.31.3.121,DNS,99,Standard query response 0xba88 A e6428.e9.akamaiedge.net A 23.65.39.65
172.31.3.121,172.31.1.6,DNS,178,Standard query response 0x3aa5 AAAA dsn6.d.skype.net CNAME dsn6.skype-dsn.akadns.net SOA internal.akadns.net
172.31.1.6,172.31.3.121,DNS,85,Standard query 0x6e04 AAAA dsn6.skype-dsn.akadns.net
172.31.3.121,172.31.1.6,DNS,151,Standard query response 0x6e04 AAAA dsn6.skype-dsn.akadns.net SOA internal.akadns.net
