8.8.8.8,172.31.136.181,DNS,87,Standard query response 0x6785 A de.tynt.com A 208.100.17.188
4.2.2.3,172.31.3.121,DNS,805,Standard query response 0x139c DS launchpad.net NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.170.77,172.31.1.6,DNS,76,Standard query 0x5fa8 A five8.nydwhwi.ru
172.31.3.121,172.31.1.6,DNS,152,Standard query response 0xd804 No such name SRV _http._tcp.ppa.launchpad.net SOA ns1.canonical.com
4.2.2.3,172.31.3.121,DNS,802,Standard query response 0x0899 DS akadns.net NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,152,Standard query response 0xd331 AAAA tr001.skype-edf.akadns.net SOA internal.akadns.net
172.31.3.121,172.31.1.6,DNS,330,Standard query response 0x1eba A toolbar.search.msn.com.akadns.net A 131.253.40.10 NS l.gtld-servers.net NS i.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net
8.8.8.8,172.31.136.181,DNS,121,Standard query response 0xad99 A whos.amung.us A 67.202.94.86 A 67.202.94.93 A 67.202.94.94
172.31.131.177,172.31.1.6,DNS,73,Standard query 0x825c A go.trouter.io
172.31.131.162,172.31.1.6,DNS,77,Standard query 0x1295 A ppa.launchpad.net
