172.31.3.121,172.31.1.6,DNS,388,Standard query response 0x73a1 A fbcdn-creative-a.akamaihd.net.edgesuite.net CNAME a1073.dsw4.akamai.net A 46.33.76.51 A 46.33.76.33 NS g.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,341,Standard query response 0xbef2 A p06-caldav-current.edge.icloud.apple-dns.net A 17.248.154.141 NS c.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,81,Standard query 0xab32 A a1073.dsw4.akamai.net
172.31.3.121,172.31.1.6,DNS,334,Standard query response 0xab32 A a1073.dsw4.akamai.net A 46.33.76.51 A 46.33.76.33 NS h.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net
172.31.131.214,172.31.1.6,DNS,79,Standard query 0xe78d A in.search.yahoo.com
172.31.131.214,172.31.1.6,DNS,76,Standard query 0xe979 A mtalk.google.com
172.31.131.214,172.31.1.6,DNS,79,Standard query 0x62a3 A clients4.google.com
172.31.131.214,172.31.1.6,DNS,84,Standard query 0x97b3 A translate.googleapis.com
8.8.4.4,172.31.3.121,DNS,804,Standard query response 0x76bd DS ssghzhit.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,363,Standard query response 0x0c22 A ssghzhit.com A 195.22.28.197 A 195.22.28.199 A 195.22.28.196 A 195.22.28.198 NS l.root-servers.net NS i.root-servers.net NS c.root-servers.net NS d.root-servers.net NS k.root-servers.net NS f.root-servers.net NS h.root-servers.net NS e.root-servers.net NS j.root-servers.net NS g.root-servers.net NS b.root-servers.net NS a.root-servers.net NS m.root-servers.net A 198.41.0.4
209.244.0.3,172.31.3.121,DNS,223,Standard query response 0x7f80 A www.hik-online.com CNAME overseas.hiddnsservice.com CNAME eu.hiddnsservice.com CNAME portal-lb-1237415662.eu-west-1.elb.amazonaws.com A 52.18.246.125 A 54.154.93.43
209.244.0.3,172.31.3.121,DNS,273,Standard query response 0xa804 AAAA www.hik-online.com CNAME overseas.hiddnsservice.com CNAME eu.hiddnsservice.com CNAME portal-lb-1237415662.eu-west-1.elb.amazonaws.com SOA ns-1053.awsdns-03.org
8.8.4.4,172.31.3.121,DNS,109,Standard query response 0x2033 A e1706.g.akamaiedge.net A 23.211.202.52 OPT
172.31.3.121,172.31.1.6,DNS,319,Standard query response 0xfc76 A e1706.g.akamaiedge.net A 23.211.202.52 NS h.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net
172.31.1.8,172.31.164.234,DNS,137,Standard query response 0xc8cf A r5---sn-o3o-qxal.googlevideo.com CNAME r5.sn-o3o-qxal.googlevideo.com A 180.149.59.80
209.244.0.3,172.31.3.121,DNS,95,Standard query response 0x3756 A stickers.im.hike.in A 54.169.191.29
172.31.3.121,172.31.1.6,DNS,330,Standard query response 0x1bdc A stickers.im.hike.in A 54.169.191.29 NS b2.in.afilias-nst.org NS b1.in.afilias-nst.in NS a0.in.afilias-nst.info NS a2.in.afilias-nst.info NS c0.in.afilias-nst.info NS b0.in.afilias-nst.org NS a1.in.afilias-nst.in A 115.249.164.142 A 199.249.117.1 A 125.19.40.90 A 199.249.125.1
172.31.1.6,172.31.171.185,DNS,95,Standard query response 0xcbc7 A stickers.im.hike.in A 54.169.191.29
172.31.1.6,172.31.171.185,DNS,95,Standard query response 0x4dce A stickers.im.hike.in A 54.169.191.29
209.244.0.3,172.31.3.121,DNS,103,Standard query response 0x0541 A api.9gag.tv A 54.93.135.27 A 52.29.239.208
172.31.150.171,172.31.1.6,DNS,76,Standard query 0xcc57 A e12.whatsapp.net
172.31.149.236,172.31.1.6,DNS,74,Standard query 0x7c26 A s.hnisdlmm.com
