172.31.144.237,172.31.1.6,DNS,76,Standard query 0xc307 A s3.amazonaws.com
172.31.1.6,172.31.3.121,DNS,78,Standard query 0xde43 A s3-1.amazonaws.com
4.2.2.2,172.31.3.121,DNS,743,Standard query response 0x82fc No such name NS f.ip6.arpa SOA b.ip6-servers.arpa RRSIG NSEC 2.0.1.0.0.2.ip6.arpa RRSIG NSEC ip6.arpa RRSIG OPT
4.2.2.2,172.31.3.121,DNS,119,Standard query response 0x7322 A ios.cyberoam.com A 103.29.28.18 A 103.29.28.17 OPT
172.31.3.121,172.31.1.6,DNS,332,Standard query response 0x359c A ios.cyberoam.com A 103.29.28.17 A 103.29.28.18 NS d.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS a.gtld-servers.net NS f.gtld-servers.net
172.31.170.168,172.31.1.6,DNS,78,Standard query 0xf370 A graph.facebook.com
172.31.1.6,172.31.170.168,DNS,136,Standard query response 0xf370 A graph.facebook.com CNAME api.facebook.com CNAME star.c10r.facebook.com A 31.13.91.2
4.2.2.2,172.31.3.121,DNS,99,Standard query response 0xa3bb A ams.dfna.net A 37.58.100.122 OPT
172.31.3.121,172.31.1.6,DNS,370,Standard query response 0x7e7c A nsl.mapticket.net CNAME vip5.asrvrv.akadns.net CNAME ams.dfna.net A 37.58.100.122 NS f.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,82,Standard query 0x3a2e A vip5.asrvrv.akadns.net
172.31.3.121,172.31.1.6,DNS,342,Standard query response 0x3a2e A vip5.asrvrv.akadns.net CNAME ams.dfna.net A 37.58.100.122 NS d.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,72,Standard query 0x1530 A ams.dfna.net
172.31.3.121,172.31.1.6,DNS,309,Standard query response 0x1530 A ams.dfna.net A 37.58.100.122 NS l.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net
172.31.149.20,172.31.1.6,DNS,103,Standard query 0x7bb1 A availability5-ap-southeast-1.truecaller.com
208.67.220.220,172.31.3.121,DNS,151,Standard query response 0x1067 No such name A raebivwo.biz SOA a.gtld.biz OPT
172.31.104.89,172.31.1.6,DNS,75,Standard query 0x7373 A www.youtube.com
172.31.111.136,172.31.1.6,DNS,86,Standard query 0xbb66 A android.clients.google.com
172.31.150.35,172.31.1.6,DNS,80,Standard query 0xb0f2 A avatars-cdn.9gag.com
172.31.1.6,172.31.3.121,DNS,80,Standard query 0xa9d1 A avatars-cdn.9gag.com
172.31.3.121,172.31.1.6,DNS,372,Standard query response 0xa9d1 A avatars-cdn.9gag.com CNAME miscmedia-9gagssl-fun.9gag.netdna-cdn.com A 108.161.188.132 NS b.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net
172.31.104.89,172.31.1.6,DNS,75,Standard query 0x1986 A www.youtube.com
172.31.149.26,172.31.1.6,DNS,76,Standard query 0xb1a4 A cdn.kmplayer.com
172.31.1.6,172.31.3.121,DNS,76,Standard query 0xebbd A cdn.kmplayer.com
