172.31.148.202,172.31.1.6,DNS,90,Standard query 0x5658 AAAA mobile.pipe.aria.microsoft.com
172.31.148.202,172.31.1.6,DNS,90,Standard query 0xfcae AAAA mobile.pipe.aria.microsoft.com
4.2.2.2,172.31.3.121,DNS,789,Standard query response 0xe8c4 DS 9gag.tv SOA a5.nstld.com RRSIG NSEC3 RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,216,Standard query response 0xe991 A api.9gag.tv A 54.169.149.38 A 52.77.72.69 A 52.77.94.8 A 52.76.223.212 NS ac3.nstld.com NS ac1.nstld.com NS ac4.nstld.com NS ac2.nstld.com
172.31.1.6,172.31.139.237,DNS,135,Standard query response 0x899e A api.9gag.tv A 54.169.149.38 A 52.77.72.69 A 52.77.94.8 A 52.76.223.212
172.31.1.6,172.31.139.212,DNS,211,Standard query response 0xd26b A reports.crashlytics.com A 54.243.155.231 A 54.225.149.188 A 54.225.177.157 A 54.225.144.11 A 50.17.181.114 A 54.225.153.29 A 54.235.220.232 A 54.243.102.194
119.81.212.83,172.31.138.209,DNS,346,Unknown operation (12) 0x7236[Malformed Packet]
172.31.128.169,172.31.1.6,DNS,83,Standard query 0xc37a A adyoulike.omnitagjs.com
172.31.1.6,172.31.3.121,DNS,83,Standard query 0xe20b A adyoulike.omnitagjs.com
172.31.1.6,172.31.137.133,DNS,282,Standard query response 0xd19c A settings.crashlytics.com CNAME settings-crashlytics-1410998606.us-east-1.elb.amazonaws.com A 54.197.255.113 A 54.225.152.187 A 54.221.198.134 A 54.225.181.88 A 54.225.215.77 A 54.221.209.225 A 54.227.238.44 A 54.235.247.104
208.67.222.222,172.31.3.121,DNS,109,Standard query response 0x2794 A e3091.b.akamaiedge.net A 122.252.138.194 OPT
172.31.3.121,172.31.1.6,DNS,362,Standard query response 0x25fe A wildcard.taboola.com.edgekey.net CNAME e3091.b.akamaiedge.net A 122.252.138.194 NS m.gtld-servers.net NS k.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,82,Standard query 0xb445 A e3091.b.akamaiedge.net
172.31.3.121,172.31.1.6,DNS,319,Standard query response 0xb445 A e3091.b.akamaiedge.net A 122.252.138.194 NS e.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS i.gtld-servers.net
172.31.1.6,172.31.163.7,DNS,170,Standard query response 0xe16c A trc.taboola.com CNAME wildcard.taboola.com.edgekey.net CNAME e3091.b.akamaiedge.net A 122.252.138.194
